1,Mercurey,1980,11.5
10,BeaujolaisVillages,1979,11.8
100,Seyssel,1974,11
101,SaintVeran,1973,12.5
11,Sylvaner,1982,11.2
12,Gentil,1975,10.7
13,CotesduRhone,1968,12.3
14,ChateauChalon,1978,10.9
15,CotedeBrouilly,1973,11.9
16,Meursault,1980,12.1
17,Meursault,1975,11.4
18,ChambolleMusigny,1968,12.3
19,Closduroi,1972,11.2
2,Julienas,1974,11.3
20,CotedeBrouilly,1980,12.1
21,CotesdeNuits,1978,
22,SavignylesBeaunes,1974,
23,Pommard,1972,
24,CotesdeBeauneVillages,1971,12.1
25,ChapelleChambertin,1968,10.5
26,ChateauCortonGrancey,1980,
27,PulignyMontrachet,1974,11
28,Volnay,1980,11
29,Corton,1972,11.6
3,SavignylesBeaunes,1978,12.1
30,BourgognePasseToutGrains,1979,12
31,Monthelie,1968,11.4
32,PouillyVinzelles,1968,12.3
33,Santenay,1972,12
34,Montagny,1978,11.2
35,AuxeyDuresses,1914,11.3
36,ChoreylesBeaunes,1955,11
37,SavignylesBeaunes,1978,10
38,SavignylesBeaunes,1977,11
39,SavignylesBeaunes,1973,
4,Mercurey,1980,10.9
40,Richebourg,1943,12
41,ClairettedeDie,1976,12
42,BeaujolaisPrimeur,1983,12
43,Fleurie,1980,11.4
44,Moulinavent,1983,
45,Chiroubles,1983,
46,Chiroubles,1983,11
47,Chiroubles,1978,11
48,CotedeBrouilly,1899,12
49,Morgon,1984,12
5,Pommard,1976,11.7
50,Chenas,1984,11.5
51,Chenas,1975,10
52,Brouilly,1975,
53,BeaujolaisVillages,1975,
54,BeaujolaisVillages,1976,10.5
55,BeaujolaisVillages,1978,12.1
56,SaintAmour,1974,
57,CrozesHermitage,1974,12.1
58,CrozesHermitage,1975,12.5
59,Crozes-Hermitage,1972,12.3
6,Mercurey,1981,11.2
60,Crozes-Hermitage,1983,11
61,Hermitage,1979,12
62,Gigondas,1978,11
63,CoteauxduTricastin,1978,10
64,CoteauxduTricastin,1974,11
65,Rochgrande,1968,10.8
66,Tavel,1968,11
67,Gewurztraminer,1968,12.5
68,Riesling,1962,14
69,Tokayd'Alsace,1982,11
7,GrandsEchezeaux,1968,11.7
70,Sylvaner,1982,11
71,Palette,1981,11
72,Cassis,1978,10
73,Bellet,1976,11
74,Arbois,1980,12
75,Arbois,1976,11
76,ChateauChalon,1976,12
77,Etoile,1979,11
78,Etoile,1980,12
79,Seyssel,1980,11
8,CotesdeBeauneVillages,1975,12.3
80,Seyssel,1980,11
81,Cornas,1980,11.1
82,Cornas,1980,11
83,SaintAmour,1980,10
84,Rasteau,1980,10
85,Tavel,1980,11
86,Tavel,1980,11
87,CotesdeProvence,1980,
88,CotesdeProvence,1976,10
89,CotesdeProvence,1969,11
9,ChapelleChambertin,1973,11.9
90,Palette,1969,11
91,Cassis,1979,11
92,CoteauxdePierevert,1967,
93,BlanquettedeLimoux,1978,
94,CotesduRousillon,1978,
95,CotesduRousillon,1978,12
96,SaintChinian,1976,11
97,SaintChinian,1976,11
98,Corbieres,1978,10
99,CoteRotie,1994,13
107,Sancerre,1998,14
